step_time_a_mag_right_leg,step_vel_a_mag_right_leg,step_dis_a_mag_right_leg,step_min_a_mag_right_leg,step_max_a_mag_right_leg,step_mean_a_mag_right_leg,step_var_a_mag_right_leg,step_std_a_mag_right_leg,step_skew_a_mag_right_leg,step_time_a_mag_left_leg,step_vel_a_mag_left_leg,step_dis_a_mag_left_leg,step_min_a_mag_left_leg,step_max_a_mag_left_leg,step_mean_a_mag_left_leg,step_var_a_mag_left_leg,step_std_a_mag_left_leg,step_skew_a_mag_left_leg,dtw_distance_a_mag_asymm,has_injury
2.713,10.055604622298986,27.28085534029715,-0.05684822841355591,1.2570487634819891,0.3568484601199208,0.22271791002259178,0.4719299842376958,0.9409314147861018,1.206,3.3887226002535398,4.086799455905769,0.0070311610796905104,0.5901022451370788,0.26243398525367206,0.04156462522479903,0.20387404254784136,0.1827412532967677,9.270288727548035,0.0
1.708,3.269974468581069,5.585116392336466,0.009959535486126388,0.4445952595207013,0.182604467243355,0.02509953566692121,0.15842832974856866,0.39600398354381827,1.005,0.6908783548319404,0.6943327466061,-0.008431373393854589,0.16756998661172195,0.06324982610370461,0.004156535855310743,0.06447120175171812,0.6986981872887298,4.400785503552869,1.0
1.733,4.6621781577061565,8.079554747304769,0.018311354851543844,0.7310042309735728,0.26000758652876294,0.06888200584865121,0.26245381660141887,0.8224597795989005,2.713,5.868296397069349,15.920688125249145,-0.08130921862677473,0.9825662769742558,0.20767007783795724,0.10198588940913746,0.31935229670246223,1.5659747895626837,2.341936672699855,0.0
0.905,4.787906226371625,4.333055134866321,0.035358769757292484,0.952303837744827,0.48904648367921427,0.11867624559932027,0.3444941880486814,0.07133953214626794,0.805,4.187720717205002,3.3711151773500267,-0.033161885880913684,1.226649248947283,0.4626638268937271,0.23764709203465664,0.4874906071245441,0.49485425770176283,4.352385947344795,0.0
1.909,2.324357736992326,4.43719891991835,0.0033912925047105405,0.4922216346928779,0.11703221814498906,0.024151003143901627,0.1554059302082827,1.4935474947944405,2.411,8.748018464603842,21.09147251815986,-0.04299159819180479,1.1487942696795084,0.34916530506455357,0.20969600257178048,0.45792576098291354,0.9021810507099202,8.7457992103938,1.0
1.106,6.584657341995024,7.282631020246497,-0.0996143305798708,1.2488472686874248,0.5426629108216197,0.2520028573899634,0.5019988619409046,0.20592876539391142,1.608,5.644295933222785,9.076027860622238,-0.0061121623146671395,0.9658876309611659,0.33150712871753435,0.1099190615490107,0.33154043727577287,0.5525496783737702,4.714150875097332,1.0
2.411,10.969389148674777,26.447197237454887,0.0005310406871382069,1.8061913771001548,0.4426492055557825,0.31158368460119407,0.5581968152911606,1.1297799949038492,1.52,4.046019952734527,6.149950328156481,-0.004587381707691757,0.8227927324859521,0.25470065556388355,0.06553572511966899,0.2559994631237905,1.2512428346576592,7.95654617386072,1.0
0.804,0.3248452275712103,0.2611755629672531,0.009898485572666342,0.07570060935936994,0.0374782828769467,0.0006683111359947124,0.025851714372449507,0.40662943531211576,1.204,2.878338912292495,3.465520050400164,-0.00441809971295418,0.5942824125348773,0.22145618906268683,0.04345249989610597,0.20845263225995966,0.5146829747917241,9.180650967299602,0.0
2.112,4.421916893380209,9.339088478819003,0.013174234146027756,0.7709784141340768,0.2030047230128854,0.05736351598325081,0.23950681823958753,1.2125389926229089,1.311,3.5810394769494933,4.694742754280785,-0.02824426663381193,0.5474037316885124,0.2544569798734511,0.041059491163194586,0.2026314170191646,-0.20604387276635686,2.4785176595894725,0.0
2.207,1.1878221368056359,2.621523455930038,0.0160419820532693,0.13551636893441646,0.05264514839224993,0.0013561672000734744,0.03682617547442952,1.0123205721679696,2.409,3.614323403746885,8.706905079626246,0.005616873152321612,0.5542874774337488,0.14525190948118544,0.029625198044468736,0.17211972009176849,1.072070830828122,7.019415724138832,0.0
2.42,6.292361199869955,15.22751410368529,-0.010770579226184258,1.1259268017185715,0.25142988813178613,0.12159307609869062,0.3487019875175515,1.4585713777551723,1.609,5.558294503397164,8.943295855966037,0.011200042319986808,0.7217951692111637,0.32815834839491,0.07145282428691244,0.2673066110048766,0.23972379558147708,2.9545810529523098,0.0
1.491,3.4164693868112015,5.093955855735501,-0.016309788455411083,0.6818457626655886,0.2125333432647385,0.04959772299297122,0.2227054624228405,1.098528283944049,1.508,6.02081857228399,9.079394407004257,-0.020394458375571276,0.8025106046971543,0.3751786373338899,0.087579579858228,0.295938473095723,0.044301788346074095,2.473974973753567,1.0
1.208,4.337210660446776,5.2393504778197055,-0.0417520976291975,0.653959400273022,0.3324782749276626,0.05255282015292556,0.2292440187942219,-0.36543315405485177,2.929,7.97474744283429,23.358035260061634,-0.012245377063445266,1.1739821211923942,0.2656211725158339,0.14194701838695817,0.37675856776848243,1.170381427202374,4.537523736470229,0.0
3.622,6.77820665578933,24.550664507268955,-0.0013536057497966635,0.9761348007767092,0.183247441332684,0.09398632107609331,0.3065718856583123,1.6412006175056246,1.307,4.159379315908723,5.4363087658927,-0.022621558163555044,0.6507569147816302,0.29543160032541543,0.04854377848068058,0.2203265269564257,0.021461654904643974,3.5550250782279913,1.0
1.507,3.276993601190416,4.938429356993957,-0.011206130134133073,0.4310427410865984,0.20455469985463232,0.019285153249313805,0.13887099498928424,-0.11045702322352896,2.409,3.614323403746885,8.706905079626246,0.005616873152321612,0.5542874774337488,0.14525190948118544,0.029625198044468736,0.17211972009176849,1.072070830828122,1.6520303246108712,1.0
1.306,0.3394595174348734,0.4433341297699447,0.0029905848744071427,0.05329628717332223,0.02469662398579045,0.00024392764197574748,0.015618183056160773,0.6354784220138453,2.01,3.660593700846062,7.357793338700584,-0.03273224225689146,0.523001780978843,0.17373531389453592,0.02808979118421411,0.16760009303163917,0.8563978033071096,6.956737030347463,0.0
1.005,0.36714092415670474,0.3689766287774882,-0.0009722357021763008,0.0657114309016961,0.03333232858802368,0.0004949061453607552,0.02224648613513503,-0.39527432253651246,2.11,3.8743730127971965,8.174927057002083,-0.014430082472627613,0.6991897079702187,0.17574610465421567,0.062042114528873774,0.2490825456126418,1.2110107670655423,7.759856499260847,1.0
2.311,6.38137366984604,14.747354551014197,-0.00028596951054183056,1.2545251694857642,0.2653665076586484,0.17550966875400467,0.41893874105172546,1.530098668131601,2.714,7.211586051719708,19.572244544367287,-0.07716596208819584,1.1234920383731737,0.2556838203619322,0.15410032650863284,0.3925561444031068,1.3680185981669246,1.2128091852932312,1.0
1.508,6.465816232360033,9.75045087839893,0.020519129256355604,1.021492605179748,0.4050474102708969,0.14026851829148884,0.3745243894481224,0.5427955814554422,1.206,4.277810711572636,5.159039718156599,-0.011837631747652951,0.6751143497743711,0.32881290870262003,0.06314148653279793,0.25127969781261267,-0.16335529446649352,4.613020917069255,0.0
2.608,5.599901088531341,14.604542038889738,-0.061997432547516815,1.1272500319253815,0.20645087838647155,0.1189563582790888,0.3449005048982805,1.775558512678683,1.105,6.397138654130663,7.0688382128143825,-0.06913874009317249,1.3229772778421809,0.5271359786864963,0.2263419779046277,0.4757541149634207,0.4703922934202727,3.2970962942380777,1.0
1.206,4.043029893192495,4.875894051190149,0.03350381674302587,0.6867551524879247,0.31623748308902744,0.04348064179812069,0.20852012324502564,0.5054514944804593,0.904,4.166330610450051,3.7663628718468463,0.00925161481703467,0.8360791953402086,0.41900660379304533,0.10231837510157453,0.3198724356701817,0.05306710302611428,2.178428628048287,0.0
1.407,0.3966443546204244,0.5580786069509371,0.0034842683291115084,0.07433649460059963,0.02669483420192214,0.0005379599104675417,0.023193962802150515,0.959676151347804,1.49,4.078818440687386,6.077439476624205,0.01002032559980915,0.9973673103008084,0.2590310737004144,0.11024305055992349,0.3320286893627168,1.3221105359269798,13.084821115530367,1.0
2.814,5.875369457843679,16.533289654372112,0.0059564884937080885,0.6949943211137302,0.20299081703961125,0.06559221246216311,0.25610976643260425,0.9675838557285964,2.513,1.209446742688674,3.0393396643766373,0.00566659358823653,0.20527530097363506,0.046870403703191295,0.0032936142435705793,0.05739001867546812,1.787153004471606,9.503429532958108,1.0
1.533,7.221543332733991,11.070625929081208,-0.027508404926061845,1.3726192802669894,0.4497657192910509,0.2865704465963912,0.5353227499335249,0.7516637852055092,1.106,4.437239706057642,4.907587114899752,-0.09966829821211233,0.7350817519229291,0.3631673160589402,0.10042446336893875,0.31689819085778753,-0.2141748110797814,8.26838643032254,0.0
1.094,5.3675649656020195,5.87211607236861,-0.054080486168657536,1.1909414563218241,0.4427424605061184,0.2217773470730278,0.4709324230428691,0.5209251511083087,0.687,3.7187953899497397,2.5548124328954716,-0.06055065413641076,1.045472412227357,0.45714047975349137,0.1902042953675648,0.4361241742526603,0.2753492817589105,1.723247699780845,0.0
2.513,8.069817104129658,20.27945038267783,0.0159261847061777,0.9753654264697516,0.31089722837516004,0.11380194767344529,0.33734544264513977,0.8001194149866533,1.906,4.903261590635095,9.34561659175049,-0.039817622021148885,0.7929412860976871,0.2434298014392283,0.08666086581333778,0.2943821764532251,0.9152536176690202,2.284342632249132,1.0
